year,RE,field,file,hours,provinces,units,reference_profile
2020,RE1,wind,data/model_inputs/hourly/2020_RE1_wind.csv.gz,8760,31,MW,1
2021,RE1,wind,data/model_inputs/hourly/2021_RE1_wind.csv.gz,8760,31,MW,1
2022,RE1,wind,data/model_inputs/hourly/2022_RE1_wind.csv.gz,8760,31,MW,1
2023,RE1,wind,data/model_inputs/hourly/2023_RE1_wind.csv.gz,8760,31,MW,1
2024,RE1,wind,data/model_inputs/hourly/2024_RE1_wind.csv.gz,8760,31,MW,1
2025,RE1,wind,data/model_inputs/hourly/2025_RE1_wind.csv.gz,8760,31,MW,1
2026,RE1,wind,data/model_inputs/hourly/2026_RE1_wind.csv.gz,8760,31,MW,1
2027,RE1,wind,data/model_inputs/hourly/2027_RE1_wind.csv.gz,8760,31,MW,1
2028,RE1,wind,data/model_inputs/hourly/2028_RE1_wind.csv.gz,8760,31,MW,1
2029,RE1,wind,data/model_inputs/hourly/2029_RE1_wind.csv.gz,8760,31,MW,1
2030,RE1,wind,data/model_inputs/hourly/2030_RE1_wind.csv.gz,8760,31,MW,1
2031,RE1,wind,data/model_inputs/hourly/2031_RE1_wind.csv.gz,8760,31,MW,1
2032,RE1,wind,data/model_inputs/hourly/2032_RE1_wind.csv.gz,8760,31,MW,1
2033,RE1,wind,data/model_inputs/hourly/2033_RE1_wind.csv.gz,8760,31,MW,1
2034,RE1,wind,data/model_inputs/hourly/2034_RE1_wind.csv.gz,8760,31,MW,1
2035,RE1,wind,data/model_inputs/hourly/2035_RE1_wind.csv.gz,8760,31,MW,1
2020,RE2,wind,data/model_inputs/hourly/2020_RE2_wind.csv.gz,8760,31,MW,2
2021,RE2,wind,data/model_inputs/hourly/2021_RE2_wind.csv.gz,8760,31,MW,2
2022,RE2,wind,data/model_inputs/hourly/2022_RE2_wind.csv.gz,8760,31,MW,2
2023,RE2,wind,data/model_inputs/hourly/2023_RE2_wind.csv.gz,8760,31,MW,2
2024,RE2,wind,data/model_inputs/hourly/2024_RE2_wind.csv.gz,8760,31,MW,2
2025,RE2,wind,data/model_inputs/hourly/2025_RE2_wind.csv.gz,8760,31,MW,2
2026,RE2,wind,data/model_inputs/hourly/2026_RE2_wind.csv.gz,8760,31,MW,2
2027,RE2,wind,data/model_inputs/hourly/2027_RE2_wind.csv.gz,8760,31,MW,2
2028,RE2,wind,data/model_inputs/hourly/2028_RE2_wind.csv.gz,8760,31,MW,2
2029,RE2,wind,data/model_inputs/hourly/2029_RE2_wind.csv.gz,8760,31,MW,2
2030,RE2,wind,data/model_inputs/hourly/2030_RE2_wind.csv.gz,8760,31,MW,2
2031,RE2,wind,data/model_inputs/hourly/2031_RE2_wind.csv.gz,8760,31,MW,2
2032,RE2,wind,data/model_inputs/hourly/2032_RE2_wind.csv.gz,8760,31,MW,2
2033,RE2,wind,data/model_inputs/hourly/2033_RE2_wind.csv.gz,8760,31,MW,2
2034,RE2,wind,data/model_inputs/hourly/2034_RE2_wind.csv.gz,8760,31,MW,2
2035,RE2,wind,data/model_inputs/hourly/2035_RE2_wind.csv.gz,8760,31,MW,2
2020,RE1,solar,data/model_inputs/hourly/2020_RE1_solar.csv.gz,8760,31,MW,1
2021,RE1,solar,data/model_inputs/hourly/2021_RE1_solar.csv.gz,8760,31,MW,1
2022,RE1,solar,data/model_inputs/hourly/2022_RE1_solar.csv.gz,8760,31,MW,1
2023,RE1,solar,data/model_inputs/hourly/2023_RE1_solar.csv.gz,8760,31,MW,1
2024,RE1,solar,data/model_inputs/hourly/2024_RE1_solar.csv.gz,8760,31,MW,1
2025,RE1,solar,data/model_inputs/hourly/2025_RE1_solar.csv.gz,8760,31,MW,1
2026,RE1,solar,data/model_inputs/hourly/2026_RE1_solar.csv.gz,8760,31,MW,1
2027,RE1,solar,data/model_inputs/hourly/2027_RE1_solar.csv.gz,8760,31,MW,1
2028,RE1,solar,data/model_inputs/hourly/2028_RE1_solar.csv.gz,8760,31,MW,1
2029,RE1,solar,data/model_inputs/hourly/2029_RE1_solar.csv.gz,8760,31,MW,1
2030,RE1,solar,data/model_inputs/hourly/2030_RE1_solar.csv.gz,8760,31,MW,1
2031,RE1,solar,data/model_inputs/hourly/2031_RE1_solar.csv.gz,8760,31,MW,1
