year,CQ,COP,file,reference_profile
2020,CQ1,COP1,data/model_inputs/thermal/2020_CQ1_COP1.csv.gz,3
2020,CQ1,COP2,data/model_inputs/thermal/2020_CQ1_COP2.csv.gz,5
2020,CQ2,COP1,data/model_inputs/thermal/2020_CQ2_COP1.csv.gz,8
2020,CQ2,COP2,data/model_inputs/thermal/2020_CQ2_COP2.csv.gz,1
2020,CQ3,COP1,data/model_inputs/thermal/2020_CQ3_COP1.csv.gz,25
2020,CQ3,COP2,data/model_inputs/thermal/2020_CQ3_COP2.csv.gz,14
2020,CQ4,COP1,data/model_inputs/thermal/2020_CQ4_COP1.csv.gz,27
2020,CQ4,COP2,data/model_inputs/thermal/2020_CQ4_COP2.csv.gz,2
2020,CQ5,COP1,data/model_inputs/thermal/2020_CQ5_COP1.csv.gz,7
2020,CQ5,COP2,data/model_inputs/thermal/2020_CQ5_COP2.csv.gz,4
2020,CQ6,COP1,data/model_inputs/thermal/2020_CQ6_COP1.csv.gz,10
2020,CQ6,COP2,data/model_inputs/thermal/2020_CQ6_COP2.csv.gz,11
2021,CQ1,COP1,data/model_inputs/thermal/2021_CQ1_COP1.csv.gz,3
2021,CQ1,COP2,data/model_inputs/thermal/2021_CQ1_COP2.csv.gz,5
2021,CQ2,COP1,data/model_inputs/thermal/2021_CQ2_COP1.csv.gz,8
2021,CQ2,COP2,data/model_inputs/thermal/2021_CQ2_COP2.csv.gz,1
2021,CQ3,COP1,data/model_inputs/thermal/2021_CQ3_COP1.csv.gz,25
2021,CQ3,COP2,data/model_inputs/thermal/2021_CQ3_COP2.csv.gz,14
2021,CQ4,COP1,data/model_inputs/thermal/2021_CQ4_COP1.csv.gz,27
2021,CQ4,COP2,data/model_inputs/thermal/2021_CQ4_COP2.csv.gz,2
2021,CQ5,COP1,data/model_inputs/thermal/2021_CQ5_COP1.csv.gz,7
2021,CQ5,COP2,data/model_inputs/thermal/2021_CQ5_COP2.csv.gz,4
2021,CQ6,COP1,data/model_inputs/thermal/2021_CQ6_COP1.csv.gz,10
2021,CQ6,COP2,data/model_inputs/thermal/2021_CQ6_COP2.csv.gz,11
2022,CQ1,COP1,data/model_inputs/thermal/2022_CQ1_COP1.csv.gz,3
2022,CQ1,COP2,data/model_inputs/thermal/2022_CQ1_COP2.csv.gz,5
2022,CQ2,COP1,data/model_inputs/thermal/2022_CQ2_COP1.csv.gz,8
2022,CQ2,COP2,data/model_inputs/thermal/2022_CQ2_COP2.csv.gz,1
2022,CQ3,COP1,data/model_inputs/thermal/2022_CQ3_COP1.csv.gz,25
2022,CQ3,COP2,data/model_inputs/thermal/2022_CQ3_COP2.csv.gz,14
2022,CQ4,COP1,data/model_inputs/thermal/2022_CQ4_COP1.csv.gz,27
2022,CQ4,COP2,data/model_inputs/thermal/2022_CQ4_COP2.csv.gz,2
2022,CQ5,COP1,data/model_inputs/thermal/2022_CQ5_COP1.csv.gz,7
2022,CQ5,COP2,data/model_inputs/thermal/2022_CQ5_COP2.csv.gz,4
2022,CQ6,COP1,data/model_inputs/thermal/2022_CQ6_COP1.csv.gz,10
2022,CQ6,COP2,data/model_inputs/thermal/2022_CQ6_COP2.csv.gz,11
2023,CQ1,COP1,data/model_inputs/thermal/2023_CQ1_COP1.csv.gz,3
2023,CQ1,COP2,data/model_inputs/thermal/2023_CQ1_COP2.csv.gz,5
2023,CQ2,COP1,data/model_inputs/thermal/2023_CQ2_COP1.csv.gz,8
2023,CQ2,COP2,data/model_inputs/thermal/2023_CQ2_COP2.csv.gz,1
2023,CQ3,COP1,data/model_inputs/thermal/2023_CQ3_COP1.csv.gz,25
2023,CQ3,COP2,data/model_inputs/thermal/2023_CQ3_COP2.csv.gz,14
2023,CQ4,COP1,data/model_inputs/thermal/2023_CQ4_COP1.csv.gz,27
2023,CQ4,COP2,data/model_inputs/thermal/2023_CQ4_COP2.csv.gz,2
2023,CQ5,COP1,data/model_inputs/thermal/2023_CQ5_COP1.csv.gz,7
2023,CQ5,COP2,data/model_inputs/thermal/2023_CQ5_COP2.csv.gz,4
2023,CQ6,COP1,data/model_inputs/thermal/2023_CQ6_COP1.csv.gz,10
2023,CQ6,COP2,data/model_inputs/thermal/2023_CQ6_COP2.csv.gz,11
2024,CQ1,COP1,data/model_inputs/thermal/2024_CQ1_COP1.csv.gz,3
2024,CQ1,COP2,data/model_inputs/thermal/2024_CQ1_COP2.csv.gz,5
2024,CQ2,COP1,data/model_inputs/thermal/2024_CQ2_COP1.csv.gz,8
2024,CQ2,COP2,data/model_inputs/thermal/2024_CQ2_COP2.csv.gz,1
2024,CQ3,COP1,data/model_inputs/thermal/2024_CQ3_COP1.csv.gz,25
2024,CQ3,COP2,data/model_inputs/thermal/2024_CQ3_COP2.csv.gz,14
