year,TL,file,units,unordered_corridors,sum_unordered_capacity_mw
2020,TL1,data/network/capacity_mw/2020_TL1.csv,MW,45,263000.0
2020,TL2,data/network/capacity_mw/2020_TL2.csv,MW,45,263000.0
2021,TL1,data/network/capacity_mw/2021_TL1.csv,MW,48,289430.0
2021,TL2,data/network/capacity_mw/2021_TL2.csv,MW,48,309100.0
2022,TL1,data/network/capacity_mw/2022_TL1.csv,MW,49,312170.0
2022,TL2,data/network/capacity_mw/2022_TL2.csv,MW,49,353400.0
2023,TL1,data/network/capacity_mw/2023_TL1.csv,MW,49,327545.0
2023,TL2,data/network/capacity_mw/2023_TL2.csv,MW,49,390650.0
2024,TL1,data/network/capacity_mw/2024_TL1.csv,MW,50,356720.0
2024,TL2,data/network/capacity_mw/2024_TL2.csv,MW,50,445900.0
2025,TL1,data/network/capacity_mw/2025_TL1.csv,MW,58,435275.0
2025,TL2,data/network/capacity_mw/2025_TL2.csv,MW,58,567750.0
2026,TL1,data/network/capacity_mw/2026_TL1.csv,MW,58,453710.0
2026,TL2,data/network/capacity_mw/2026_TL2.csv,MW,58,615200.0
2027,TL1,data/network/capacity_mw/2027_TL1.csv,MW,61,487025.0
2027,TL2,data/network/capacity_mw/2027_TL2.csv,MW,61,684250.0
2028,TL1,data/network/capacity_mw/2028_TL1.csv,MW,61,513980.0
2028,TL2,data/network/capacity_mw/2028_TL2.csv,MW,61,746100.0
2029,TL1,data/network/capacity_mw/2029_TL1.csv,MW,64,549275.0
2029,TL2,data/network/capacity_mw/2029_TL2.csv,MW,64,821750.0
2030,TL1,data/network/capacity_mw/2030_TL1.csv,MW,66,585650.0
2030,TL2,data/network/capacity_mw/2030_TL2.csv,MW,66,901000.0
2031,TL1,data/network/capacity_mw/2031_TL1.csv,MW,67,629000.0
2031,TL2,data/network/capacity_mw/2031_TL2.csv,MW,67,971250.0
2032,TL1,data/network/capacity_mw/2032_TL1.csv,MW,69,673790.0
2032,TL2,data/network/capacity_mw/2032_TL2.csv,MW,69,1043900.0
2033,TL1,data/network/capacity_mw/2033_TL1.csv,MW,69,720020.0
2033,TL2,data/network/capacity_mw/2033_TL2.csv,MW,69,1118950.0
2034,TL1,data/network/capacity_mw/2034_TL1.csv,MW,70,767690.0
2034,TL2,data/network/capacity_mw/2034_TL2.csv,MW,70,1196400.0
2035,TL1,data/network/capacity_mw/2035_TL1.csv,MW,70,797600.0
2035,TL2,data/network/capacity_mw/2035_TL2.csv,MW,70,1246250.0
