province_id,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
P01,0.0,0.0,11100.0,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P02,0.0,0.0,2220.0,8880.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P03,11100.0,2220.0,0.0,6660.0,22200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P04,2220.0,8880.0,6660.0,0.0,17760.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05,0.0,8880.0,22200.0,17760.0,0.0,8880.0,6660.0,6660.0,0.0,8880.0,0.0,0.0,0.0,0.0,35520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P06,0.0,0.0,0.0,0.0,8880.0,0.0,4440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P07,0.0,0.0,0.0,0.0,6660.0,4440.0,0.0,6660.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P08,0.0,0.0,0.0,0.0,6660.0,0.0,6660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,13320.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10,0.0,0.0,0.0,8880.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4440.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,8880.0,8880.0,8880.0,0.0
P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,17760.0
P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.0,8880.0,0.0,0.0,0.0,0.0,8880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
