province_id,province,reference_capacity_mw
1,Beijing,12560.01
2,Tianjin,16680.0
3,Hebei,53009.9999999999
4,Shanxi,68779.99
5,Inner Mongolia,93950.0
6,Liaoning,36430.0
7,Jilin,18520.0
8,Heilongjiang,24230.0
9,Shanghai,24499.99
10,Jiangsu,99790.0
11,Zhejiang,67580.0
12,Anhui,55610.0
13,Fujian,34780.0
14,Jiangxi,24549.9999999999
15,Shandong,109350.0
16,Henan,70680.0
17,Hubei,33159.99
18,Hunan,22690.0
19,Guangdong,93300.0
20,Guangxi,23410.0
21,Hainan,5730.0
22,Chongqing,15319.9999999999
23,Sichuan,15960.0
24,Guizhou,35600.0
25,Yunnan,15110.0
26,Tibet,430.0
27,Shaanxi,49930.0
28,Gansu,23280.0
29,Qinghai,4130.0
30,Ningxia,33260.0
31,Xinjiang,63420.0
