profile_id,legacy_si_id,RE,CF,TL,CQ,CAP,COP,scenario_key,RE_SC,BM_SC,CP_SC,FL_SC
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0
4,4.0,RE1,CF3,TL1,CQ5,CAP1,COP2,RE1_CF3_TL1_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.0
5,5.0,RE1,CF2,TL1,CQ1,CAP1,COP2,RE1_CF2_TL1_CQ1_CAP1_COP2,BAU,无配额,PD,0.3
6,6.0,RE2,CF2,TL2,CQ1,CAP1,COP1,RE2_CF2_TL2_CQ1_CAP1_COP1,H,无配额,BAU,0.3
7,7.0,RE1,CF3,TL2,CQ5,CAP1,COP1,RE1_CF3_TL2_CQ5_CAP1_COP1,BAU,全行业配额,BAU,0.0
8,8.0,RE2,CF3,TL2,CQ2,CAP2,COP1,RE2_CF3_TL2_CQ2_CAP2_COP1,H,基准不变,BAU,0.0
9,9.0,RE2,CF2,TL2,CQ2,CAP1,COP1,RE2_CF2_TL2_CQ2_CAP1_COP1,H,基准不变,BAU,0.3
10,10.0,RE1,CF2,TL2,CQ6,CAP2,COP1,RE1_CF2_TL2_CQ6_CAP2_COP1,BAU,电力配额,BAU,0.3
11,11.0,RE1,CF1,TL2,CQ6,CAP2,COP2,RE1_CF1_TL2_CQ6_CAP2_COP2,BAU,电力配额,PD,0.4
12,12.0,RE2,CF1,TL1,CQ5,CAP2,COP2,RE2_CF1_TL1_CQ5_CAP2_COP2,H,全行业配额,PD,0.4
13,13.0,RE2,CF2,TL1,CQ6,CAP2,COP1,RE2_CF2_TL1_CQ6_CAP2_COP1,H,电力配额,BAU,0.3
14,14.0,RE1,CF1,TL1,CQ3,CAP2,COP2,RE1_CF1_TL1_CQ3_CAP2_COP2,BAU,REPO,PD,0.4
15,15.0,RE1,CF2,TL1,CQ2,CAP2,COP1,RE1_CF2_TL1_CQ2_CAP2_COP1,BAU,基准不变,BAU,0.3
16,16.0,RE2,CF3,TL1,CQ6,CAP1,COP1,RE2_CF3_TL1_CQ6_CAP1_COP1,H,电力配额,BAU,0.0
17,17.0,RE2,CF3,TL2,CQ6,CAP2,COP2,RE2_CF3_TL2_CQ6_CAP2_COP2,H,电力配额,PD,0.0
18,18.0,RE2,CF1,TL2,CQ6,CAP1,COP1,RE2_CF1_TL2_CQ6_CAP1_COP1,H,电力配额,BAU,0.4
19,19.0,RE2,CF3,TL1,CQ5,CAP2,COP1,RE2_CF3_TL1_CQ5_CAP2_COP1,H,全行业配额,BAU,0.0
20,20.0,RE2,CF3,TL2,CQ5,CAP2,COP2,RE2_CF3_TL2_CQ5_CAP2_COP2,H,全行业配额,PD,0.0
21,21.0,RE1,CF2,TL1,CQ6,CAP1,COP2,RE1_CF2_TL1_CQ6_CAP1_COP2,BAU,电力配额,PD,0.3
22,22.0,RE2,CF1,TL2,CQ1,CAP1,COP2,RE2_CF1_TL2_CQ1_CAP1_COP2,H,无配额,PD,0.4
23,23.0,RE2,CF3,TL1,CQ2,CAP1,COP2,RE2_CF3_TL1_CQ2_CAP1_COP2,H,基准不变,PD,0.0
24,24.0,RE2,CF1,TL1,CQ5,CAP1,COP1,RE2_CF1_TL1_CQ5_CAP1_COP1,H,全行业配额,BAU,0.4
25,25.0,RE1,CF3,TL1,CQ3,CAP1,COP1,RE1_CF3_TL1_CQ3_CAP1_COP1,BAU,REPO,BAU,0.0
26,26.0,RE2,CF3,TL2,CQ3,CAP1,COP2,RE2_CF3_TL2_CQ3_CAP1_COP2,H,REPO,PD,0.0
27,27.0,RE2,CF3,TL1,CQ4,CAP2,COP1,RE2_CF3_TL1_CQ4_CAP2_COP1,H,REPO_plus,BAU,0.0
28,28.0,RE1,CF2,TL2,CQ2,CAP1,COP2,RE1_CF2_TL2_CQ2_CAP1_COP2,BAU,基准不变,PD,0.3
29,29.0,RE2,CF3,TL1,CQ1,CAP2,COP2,RE2_CF3_TL1_CQ1_CAP2_COP2,H,无配额,PD,0.0
30,30.0,RE1,CF2,TL1,CQ5,CAP2,COP2,RE1_CF2_TL1_CQ5_CAP2_COP2,BAU,全行业配额,PD,0.3
31,31.0,RE2,CF3,TL2,CQ4,CAP1,COP1,RE2_CF3_TL2_CQ4_CAP1_COP1,H,REPO_plus,BAU,0.0
32,32.0,RE1,CF1,TL2,CQ5,CAP2,COP1,RE1_CF1_TL2_CQ5_CAP2_COP1,BAU,全行业配额,BAU,0.4
