profile_id,legacy_si_id,RE,CF,TL,CQ,CAP,COP,scenario_key,RE_SC,BM_SC,CP_SC,FL_SC,task_id,year,ATCrate,CarbonPrice,ets_active
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,1,2020,1.0,42.85,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,2,2021,1.1,42.85,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,3,2022,1.2,45.61,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,4,2023,1.3,127.71,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,5,2024,1.4,209.81,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,6,2025,1.5,291.9,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,7,2026,1.6,374.0,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,8,2027,1.7,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,9,2028,1.8,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,10,2029,1.9,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,11,2030,2.0,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,12,2031,2.1,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,13,2032,2.2,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,14,2033,2.3,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,15,2034,2.4,456.1,1
1,1.0,RE1,CF3,TL2,CQ2,CAP2,COP2,RE1_CF3_TL2_CQ2_CAP2_COP2,BAU,基准不变,PD,0.0,16,2035,2.5,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,17,2020,1.0,42.85,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,18,2021,1.1,42.85,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,19,2022,1.2,45.61,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,20,2023,1.3,127.71,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,21,2024,1.4,209.81,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,22,2025,1.5,291.9,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,23,2026,1.6,374.0,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,24,2027,1.7,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,25,2028,1.8,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,26,2029,1.9,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,27,2030,2.0,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,28,2031,2.1,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,29,2032,2.2,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,30,2033,2.3,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,31,2034,2.4,456.1,1
2,2.0,RE2,CF2,TL2,CQ4,CAP2,COP2,RE2_CF2_TL2_CQ4_CAP2_COP2,H,REPO_plus,PD,0.3,32,2035,2.5,456.1,1
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,33,2020,1.0,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,34,2021,1.1,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,35,2022,1.2,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,36,2023,1.3,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,37,2024,1.4,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,38,2025,1.5,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,39,2026,1.6,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,40,2027,1.7,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,41,2028,1.8,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,42,2029,1.9,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,43,2030,2.0,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,44,2031,2.1,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,45,2032,2.2,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,46,2033,2.3,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,47,2034,2.4,0.0,0
3,3.0,RE1,CF3,TL2,CQ1,CAP2,COP1,RE1_CF3_TL2_CQ1_CAP2_COP1,BAU,无配额,BAU,0.0,48,2035,2.5,0.0,0
4,4.0,RE1,CF3,TL1,CQ5,CAP1,COP2,RE1_CF3_TL1_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.0,49,2020,1.0,42.85,1
4,4.0,RE1,CF3,TL1,CQ5,CAP1,COP2,RE1_CF3_TL1_CQ5_CAP1_COP2,BAU,全行业配额,PD,0.0,50,2021,1.03,42.85,1
